matchId,blue_kill,red_kill,blue_gold,red_gold,blue_tower,blue_inhibitor,red_tower,red_inhibitor,blue_monster,red_monster,current_time,blue_win
4627426557,6,12,20893,25321,0,0,0,0,"['AIR_DRAGON', 'WATER_DRAGON']",[],900,0
4566890754,5,4,21794,19420,0,0,0,0,"['FIRE_DRAGON', 'RIFTHERALD']",[],900,1
4624428804,21,6,28391,18988,0,0,-1,0,"['WATER_DRAGON', 'RIFTHERALD', 'AIR_DRAGON']",[],900,1
4619672325,13,10,24535,23593,0,0,0,0,['RIFTHERALD'],[],900,1
4624577286,7,16,23007,24503,0,0,-1,0,[],['RIFTHERALD'],900,1
4626773255,7,14,23288,24720,0,0,0,0,"['AIR_DRAGON', 'RIFTHERALD']",['FIRE_DRAGON'],900,0
4579900681,14,3,25221,20163,0,0,-1,0,"['EARTH_DRAGON', 'RIFTHERALD']",[],900,1
4561668372,6,12,23194,23744,0,0,-1,0,['EARTH_DRAGON'],[],900,1
4615066900,16,11,25973,23814,0,0,-1,0,['FIRE_DRAGON'],[],900,0
4616076054,7,7,22281,22810,-1,0,0,0,['EARTH_DRAGON'],['RIFTHERALD'],900,0
4560805655,8,14,22333,26877,-1,0,0,0,[],"['AIR_DRAGON', 'RIFTHERALD']",900,0
4575278361,7,6,23048,20599,0,0,0,0,['FIRE_DRAGON'],[],900,1
4627587353,10,12,21857,24455,0,0,0,0,[],"['FIRE_DRAGON', 'WATER_DRAGON']",900,0
4585837853,11,11,25043,23564,0,0,-2,0,['RIFTHERALD'],['WATER_DRAGON'],900,0
4619636509,9,9,22761,25411,-3,0,0,0,"['AIR_DRAGON', 'EARTH_DRAGON']",['RIFTHERALD'],900,1
4610889504,4,6,21038,20844,0,0,0,0,['WATER_DRAGON'],"['RIFTHERALD', 'FIRE_DRAGON']",900,0
4624326947,12,10,25282,24088,0,0,-1,0,"['EARTH_DRAGON', 'RIFTHERALD']",[],900,0
4620212517,3,7,18910,24344,-1,0,0,0,['FIRE_DRAGON'],"['RIFTHERALD', 'EARTH_DRAGON']",900,0
4621431590,14,10,24631,22400,0,0,0,0,['EARTH_DRAGON'],[],900,1
4574122791,11,13,25522,25254,0,0,-1,0,[],"['WATER_DRAGON', 'RIFTHERALD']",900,0
4628113702,10,11,23999,25186,-2,0,0,0,['FIRE_DRAGON'],['RIFTHERALD'],900,0
4621914926,10,10,20674,22877,-1,0,0,0,[],['FIRE_DRAGON'],900,0
4589356848,12,7,24281,21463,0,0,0,0,[],['AIR_DRAGON'],900,1
4589792566,10,4,24152,18757,0,0,-1,0,['RIFTHERALD'],['WATER_DRAGON'],900,1
